DOCUMENT_INDEX,DOCUMENT,TRUE_SENTIMENT
3360,In 2006  Benjamin Koellmann bought a condominium in Miami Beach. By his calculation  it will be about the year 2025 before he can sell his modest home for what he paid. Or maybe 2040.,Neutral
3361,Lugo  a former Catholic bishop who assumed office in August 2008  sacked Rear Admiral Ciber Benitez. He will be replaced by General Juan Oscar Velazquez  a former army commander and a Lugo confidant  an official statement said.,Positive
3362,Spanish Wimbledon winner Rafael Nadal said Sunday he would love to go to the football World Cup and watch Spain lift the trophy.,Positive
3363,In a letter posted on the White House web site Tuesday  John Brennan  assistant to President Barack Obama for homeland security and counterterrorism  said Schmidt will have regular access to the president and play a vital role in the country's security.,Positive
3364,TAMPA  At least Raheem Morris finally has the name of the Bucs' starting quarterback in the back of his mind.,Positive
3365,The arson attacks mirrored  albeit with far more violence  a campaign launched in early 2006 by opponents of Thaksin to boycott businesses close to the then prime minister. Six months later  the military removed Thaksin and set up a commission to investigate his business network.,Negative
3366,Coast Guard Rear Adm. James A. Watson sent a letter to BP officials on Friday expressing frustration with the overall pace of the effort and ordered the company to identify ways to expedite the process in the coming days.,Neutral
3367,First  they note that the terms of the proposed GM restructuring are similar to those laid out by the Bush administration in December  when it extended $13.4 billion in loans to GM.,Neutral
3368,Ovechkin  the star of a new generation  simply devastated Jagr  a 1990s NHL superstar playing in Russia  with a body slam into the upper chest that broke Jagr's helmet visor and sent a spirit-crushing message to the other Czechs.,Positive
3369,"""Oracle had ample opportunity to question Leo during his sworn deposition in October 2008 and chose not to include him as a trial witness until he was named CEO of HP "" HP said in a statement.",Neutral
3370,Bethune  the Ady Gil skipper  said he was happy the report acknowledged his vessel had right of way over the Japanese ship.,Neutral
3371,No immediate leaks were spotted  which was encouraging. But midway through the testing period on the new temporary cap that was bottling up the crude inside the well  the pressure readings were not rising as high as expected  said retired Coast Guard Adm. Thad Allen  the government's point man on the crisis.,Neutral
3372,Part of the problem lies in the fractious power-sharing government that was set up  under intense international pressure  in 2008  after a disputed election in Kenya burst into a bloodbath. Supporters of Kibaki and his campaign rival  Odinga  battled in the streets  killing more than 1 000 people and displacing hundreds of thousands in a country that had been considered one of Africa's most promising. In early 2008  Odinga became prime minister  and other leadership positions were split between Kibaki's loyalists and the opposition.,Neutral
3373,If they fail  Yanukovych can exercise his right to dissolve parliament and call snap legislative elections that would otherwise not be due until 2012.,Neutral
3374,"For years  Bill Watterson  creator of the beloved comic strip ""Calvin and Hobbes "" has been the cartooning world's version of J.D. Salinger.",Positive
3375,Such as Tom Scarritt.,Neutral
3376,Hatoyama said Fujii's resignation was unavoidable due to exhaustion and high blood pressure  caused by months of hard work drawing up the national budget.,Neutral
3377,President Sebastian Pinera posed with the miners  most of whom were wearing bathrobes and slippers  for a group photo  and then celebrated the rescue as an achievement that will bring Chile a new level of respect around the world.,Neutral
3378,Liu was detained a year ago  just before the release of an unusually direct appeal for political liberalization he co-authored called Charter 08. More than 300 people  including some of China's top intellectuals  signed before it was released.,Neutral
3379,India's financial capital Mumbai will get another airport  the Navi Mumbai airport  after the central government Monday gave a go-ahead to the project  after months of uncertainty over flouting of environmental norms.,Neutral
3380,In the latest blow to Gordon BrownGordon Brown's beleaguered leadership  the British prime minister is being forced to repay over 12 000 pounds ($19 000) in disputed claims following an audit into how British lawmakers spent public money.,Neutral
3381,"The official  Andrew Shirvell  has drawn national attention -- and calls for his ouster -- because of his attacks through his personal blog on the student  Chris Armstrong  who is believed to be the first openly gay president of the university's student assembly. Shirvell has called Armstrong a racist with a ""radical homosexual agenda.""",Negative
3382,In an address to the nation to mark the end of combat operations  al-Maliki said Iraqi forces were capable of handling security and protecting people from attacks after U.S. combat troops pull out.,Positive
